,course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject
0,8324,Javascript for Beginners,https://www.udemy.com/beginning-javascript/,TRUE,20,3697,195,48,All Levels,3,2011-07-09T05:43:31Z,Web Development
1,8325,HTML Tutorial: HTML & CSS for Beginners,https://www.udemy.com/learn-html5/,TRUE,20,12458,253,82,All Levels,4,2011-09-09T15:28:59Z,Web Development
2,11153,Learn jQuery: An In-depth Course For Beginners,https://www.udemy.com/jquery/,TRUE,50,7014,95,62,All Levels,4.5,2011-11-29T01:29:11Z,Web Development
3,11174,Become a Web Developer from Scratch,https://www.udemy.com/how-to-become-a-web-developer-from-scratch/,TRUE,120,69186,2408,197,All Levels,27.5,2011-11-19T21:51:20Z,Web Development
4,11475,Become a Certified Web Developer,https://www.udemy.com/become-a-certified-web-developer/,TRUE,100,26673,1090,185,All Levels,12,2011-12-20T15:29:25Z,Web Development
5,12214,Back 2 The Basics,https://www.udemy.com/gospel-piano-101/,TRUE,50,265,23,65,All Levels,3,2013-07-19T18:11:57Z,Musical Instruments
6,12975,Introduction to Java Programming for Online Learners,https://www.udemy.com/learning-to-program-in-java-a-supplement-for-online-academic-learners/,TRUE,200,1586,87,124,Beginner Level,22,2013-04-17T02:55:10Z,Web Development
7,13216,Aprende a Tocar Teclado - Piano,https://www.udemy.com/solfeo-musical/,TRUE,35,119,8,52,All Levels,3.5,2012-01-26T05:36:39Z,Musical Instruments
8,14571,Learn HTML5 At Your Own Pace. Ideal for Beginners,https://www.udemy.com/learning-html5/,TRUE,50,3026,60,67,All Levels,7,2012-02-28T18:52:32Z,Web Development
9,15285,HTML Workshop,https://www.udemy.com/html-workshop/,TRUE,20,25854,306,17,All Levels,2,2012-04-08T05:12:43Z,Web Development
10,15467,Learn To Draw - The COMIC BOOK STYLE,https://www.udemy.com/learn-to-draw/,TRUE,55,363,14,19,All Levels,2,2012-06-01T21:53:11Z,Graphic Design
11,15611,Discover the 7 Secrets to Figure Drawing: Draw Awesome ...,https://www.udemy.com/how-to-draw-the-human-figure-10-hours/,TRUE,40,2634,92,25,All Levels,10,2012-04-04T02:24:51Z,Graphic Design
12,16151,AJAX Development,https://www.udemy.com/ajax-development/,TRUE,20,7867,147,23,All Levels,3,2012-05-15T18:03:43Z,Web Development
13,16646,Web Programming with Python,https://www.udemy.com/web-programming-with-python/,TRUE,50,35267,217,53,All Levels,4,2012-04-25T00:01:43Z,Web Development
14,16689,Drawing With Confidence,https://www.udemy.com/drawing-with-confidence/,TRUE,25,105,7,10,All Levels,2,2012-05-04T07:24:05Z,Graphic Design
15,16714,Color Basics for Print Designers,https://www.udemy.com/color-basics-for-print-designers/,TRUE,20,372,21,10,All Levels,0.6,2012-04-23T21:13:00Z,Graphic Design
16,17349,Figure Drawing From Life Using The Reilly Technique.,https://www.udemy.com/figure-drawing-from-life-using-the-reilly-technique/,FALSE,0,47811,1041,22,All Levels,2.5,2012-05-09T18:14:57Z,Graphic Design
17,17887,JavaScript with BackboneJS and Bootstrap CSS - Advanced,https://www.udemy.com/advanced-javascript-with-backbonejs-and-bootstrap-css/,TRUE,25,1758,37,16,Intermediate Level,3.5,2012-05-21T18:22:09Z,Web Development
18,17922,Play Ukulele Now,https://www.udemy.com/play-ukulele/,TRUE,30,1951,88,78,All Levels,5,2012-06-02T21:40:53Z,Musical Instruments
19,18448,Learning CSS3 - A Comprehensive Tutorial For Web Developers,https://www.udemy.com/learning-css3/,TRUE,50,2459,107,101,All Levels,8,2012-05-24T21:14:57Z,Web Development
20,19164,Graphic Design Secrets Revealed,https://www.udemy.com/design-like-a-pro-graphic-design-fundamentals/,TRUE,95,2555,28,55,All Levels,6,2012-09-04T02:21:04Z,Graphic Design
21,19260,Create an Engaging Website with Twitter Bootstrap 2.x,https://www.udemy.com/create-an-engaging-website-with-twitter-bootstrap/,TRUE,20,1463,56,24,All Levels,1,2012-06-18T17:06:55Z,Web Development
22,19332,The Original Complete Web Developer Course.,https://www.udemy.com/thecompletewebdeveloper/,TRUE,20,31070,742,195,Beginner Level,18,2012-10-28T00:13:03Z,Web Development
23,19421,Free Beginner Electric Guitar Lessons,https://www.udemy.com/beginner-electric-guitar-lessons/,FALSE,0,101154,1042,95,Beginner Level,4.5,2012-06-15T17:00:33Z,Musical Instruments
24,19422,Drupal 7 for Beginners,https://www.udemy.com/drupal-for-beginners/,TRUE,35,926,102,37,All Levels,2.5,2012-06-14T18:15:00Z,Web Development
25,19603,Learning Dynamic Website Design - PHP MySQL and JavaScript,https://www.udemy.com/learning-dynamic-website-design/,TRUE,50,47886,285,125,All Levels,12.5,2012-06-18T16:52:34Z,Web Development
26,19653,Accounting Skills for Managers,https://www.udemy.com/accounting-skills-for-managers/,TRUE,20,78,3,10,Beginner Level,1.5,2012-06-27T16:41:09Z,Business Finance
27,20150,iPhone icons gone awesome,https://www.udemy.com/how-to-make-awesome-icons-for-your-iphone-app-in-60-seconds/,TRUE,20,2346,18,55,All Levels,3.5,2012-06-26T14:39:05Z,Graphic Design
28,20185,The Complete Forex Trader,https://www.udemy.com/forextrader/,TRUE,25,1634,142,46,All Levels,7,2012-10-01T09:46:23Z,Business Finance
29,20387,Guitar Insanity Workout - Eatmystrings!,https://www.udemy.com/eatmystrings-guitar-insanity-workout/,TRUE,50,2673,17,29,All Levels,2.5,2012-07-06T21:33:05Z,Musical Instruments
30,20461,How to Design a Logo - a Beginners Course,https://www.udemy.com/how-to-design-a-logo-a-beginners-course/,TRUE,30,10875,650,41,All Levels,2.5,2012-07-25T13:41:42Z,Graphic Design
31,21080,Guitar Essentials,https://www.udemy.com/guitar-essentials/,TRUE,20,261,1,18,Beginner Level,1.5,2014-05-07T18:05:57Z,Musical Instruments
32,21386,Beginner Photoshop to HTML5 and CSS3,https://www.udemy.com/psd-html5-css3/,FALSE,0,73110,1716,22,All Levels,2,2012-07-27T12:54:57Z,Web Development
33,22445,Learn to Design a Letterhead - A Beginners Course,https://www.udemy.com/learn-to-design-a-letterhead/,FALSE,0,24687,423,13,All Levels,0.733333333,2012-10-10T23:34:55Z,Graphic Design
34,22825,Beginner Guitar Method,https://www.udemy.com/beginner-guitar/,TRUE,200,85,2,23,Beginner Level,4,2012-10-31T04:13:51Z,Musical Instruments
35,23683,Guitar - Rock - Beginner with Marc Seal,https://www.udemy.com/guitar-rock-beginner-with-marc-seal/,TRUE,20,40,1,27,All Levels,1,2012-08-31T22:06:29Z,Musical Instruments
36,23742,Servlets and JSPs Tutorial: Learn Web Applications With Java,https://www.udemy.com/javawebtut/,TRUE,35,15187,970,64,All Levels,10,2012-09-10T23:52:58Z,Web Development
37,23861,Guitar - Rock - Beginner/Intermediate with Marc Seal,https://www.udemy.com/guitar-rock-beginner-intermediate-with-marc-seal/,TRUE,20,36,4,40,Beginner Level,1.5,2012-10-07T00:47:57Z,Musical Instruments
38,24334,CSS Development (with CSS3!),https://www.udemy.com/css-development-with-css3/,TRUE,20,25864,188,32,All Levels,5,2012-10-31T16:39:49Z,Web Development
39,24815,Harnessing the Power of Growth Stocks,https://www.udemy.com/harnessing-the-power-of-growth-stocks/,TRUE,50,29,2,7,Intermediate Level,2,2012-10-31T01:05:18Z,Business Finance
40,24877,Introductory Financial Accounting,https://www.udemy.com/introductory-financial-accounting/,TRUE,80,1793,265,54,Beginner Level,10,2012-10-03T03:20:10Z,Business Finance
