course_id,course_title,url,level,subject,Ramesh,Ritesh,Rohit,Divya,Pooja,Ravi,Mansi,Hitesh,Tejas,Sonal,Rahul,Sourabh,nishu314@gmail.com,talk2nishantn@gmail.com,N@gmail.com,dubeyrahul@gmail.com
1070968,Javascript for Beginners,https://www.udemy.com/beginning-javascript/,All Levels,Web Development,,3.0,,,,,3.0,,4.0,,2.0,,,,,
1113822,HTML Tutorial: HTML & CSS for Beginners,https://www.udemy.com/learn-html5/,All Levels,Web Development,,,5.0,,3.0,,3.0,,,,,,,,,
1006314,Learn jQuery: An In-depth Course For Beginners,https://www.udemy.com/jquery/,All Levels,Web Development,,,,,5.0,,,,3.0,,,,,,,
1210588,Become a Web Developer from Scratch,https://www.udemy.com/how-to-become-a-web-developer-from-scratch/,All Levels,Web Development,,,4.0,,,3.0,,,,,3.0,,,,,
1011058,Become a Certified Web Developer,https://www.udemy.com/become-a-certified-web-developer/,All Levels,Web Development,1.0,,,,,1.0,,,3.0,,,,,,,
192870,Back 2 The Basics,https://www.udemy.com/gospel-piano-101/,All Levels,Musical Instruments,2.0,,,,,,,,3.0,4.0,,,,,,
739964,Introduction to Java Programming for Online Learners,https://www.udemy.com/learning-to-program-in-java-a-supplement-for-online-academic-learners/,Beginner Level,Web Development,1.0,,4.0,,,1.0,2.0,,,2.0,,,,,,
403100,Aprende a Tocar Teclado - Piano,https://www.udemy.com/solfeo-musical/,All Levels,Musical Instruments,,,,,,,,,,3.0,,,,,,
476268,Learn HTML5 At Your Own Pace. Ideal for Beginners,https://www.udemy.com/learning-html5/,All Levels,Web Development,2.0,5.0,,,,,3.0,,,,,,,,,
1167710,HTML Workshop,https://www.udemy.com/html-workshop/,All Levels,Web Development,,,5.0,4.0,,,,,,,5.0,,,,,
592338,Learn To Draw - The COMIC BOOK STYLE,https://www.udemy.com/learn-to-draw/,All Levels,Graphic Design,,4.0,1.0,,,,,2.0,,4.0,,,,,,
975046,Discover the 7 Secrets to Figure Drawing: Draw Awesome ...,https://www.udemy.com/how-to-draw-the-human-figure-10-hours/,All Levels,Graphic Design,5.0,,,,,1.0,3.0,,4.0,,,,,,,
742602,AJAX Development,https://www.udemy.com/ajax-development/,All Levels,Web Development,,,1.0,,,,,,,,,,,,,
794151,Web Programming with Python,https://www.udemy.com/web-programming-with-python/,All Levels,Web Development,,4.0,,,1.0,,,,,,,,,,,
1196544,Drawing With Confidence,https://www.udemy.com/drawing-with-confidence/,All Levels,Graphic Design,,,1.0,,,,,3.0,,,,5.0,,,,
504036,Color Basics for Print Designers,https://www.udemy.com/color-basics-for-print-designers/,All Levels,Graphic Design,,,,1.0,,,,5.0,5.0,,,2.0,,,,
719698,Figure Drawing From Life Using The Reilly Technique.,https://www.udemy.com/figure-drawing-from-life-using-the-reilly-technique/,All Levels,Graphic Design,,,,,,,,,,4.0,,,,,,
564966,JavaScript with BackboneJS and Bootstrap CSS - Advanced,https://www.udemy.com/advanced-javascript-with-backbonejs-and-bootstrap-css/,Intermediate Level,Web Development,5.0,2.0,,,,,5.0,,,,,1.0,,,,
606928,Play Ukulele Now,https://www.udemy.com/play-ukulele/,All Levels,Musical Instruments,,,,,2.0,,,,,,,2.0,,,,
58977,Learning CSS3 - A Comprehensive Tutorial For Web Developers,https://www.udemy.com/learning-css3/,All Levels,Web Development,,,,3.0,2.0,,3.0,4.0,,,4.0,,,,,
1242604,Graphic Design Secrets Revealed,https://www.udemy.com/design-like-a-pro-graphic-design-fundamentals/,All Levels,Graphic Design,,,,,,,,,,,,,,,,
798740,Create an Engaging Website with Twitter Bootstrap 2.x,https://www.udemy.com/create-an-engaging-website-with-twitter-bootstrap/,All Levels,Web Development,,,,,,,,,,,4.0,,,,,
506568,The Original Complete Web Developer Course.,https://www.udemy.com/thecompletewebdeveloper/,Beginner Level,Web Development,,,,,3.0,4.0,1.0,,,5.0,,,,,,
1020760,Free Beginner Electric Guitar Lessons,https://www.udemy.com/beginner-electric-guitar-lessons/,Beginner Level,Musical Instruments,,,,,,3.0,,5.0,,4.0,,3.0,,,,
859742,Drupal 7 for Beginners,https://www.udemy.com/drupal-for-beginners/,All Levels,Web Development,,,,,,,,,,,,,,,,
383414,Learning Dynamic Website Design - PHP MySQL and JavaScript,https://www.udemy.com/learning-dynamic-website-design/,All Levels,Web Development,,4.0,,,3.0,,,,2.0,,,,,,,
353044,Accounting Skills for Managers,https://www.udemy.com/accounting-skills-for-managers/,Beginner Level,Business Finance,,,,,1.0,5.0,,,4.0,,1.0,,,,,
447362,iPhone icons gone awesome,https://www.udemy.com/how-to-make-awesome-icons-for-your-iphone-app-in-60-seconds/,All Levels,Graphic Design,5.0,5.0,4.0,,3.0,,1.0,,,,5.0,1.0,,,,
831066,The Complete Forex Trader,https://www.udemy.com/forextrader/,All Levels,Business Finance,,5.0,,,,,,,2.0,1.0,,,,,,
