,title,company,location,startdate,duration,stipend,apply,tags,link
0,#MyCareerMyChoice,Say no to career stereotypes! Say yes to being you!,,1-6 months 1-6 months,"Minimum ₹10,000",24th February,,,https://internshala.com/internships/marketing-internship/page-1
1,Campus Ambassador,International Model United Nations,Work From Home,Starts immediatelyImmediately,1 Month,Performance Based,2 Mar' 22,"Internship                

                Part time allowed                

                Internship",https://internshala.com/internships/marketing-internship/page-1
2,Marketing,MakeMyTrip,"Gurgaon, Bangalore",Starts immediatelyImmediately,2 Months,2000 /month,18 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
3,PR & Marketing,CaratLane Trading Private Limited,Mumbai,Starts immediatelyImmediately,6 Months,10000 /month,18 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
4,Campus Ambassador,"E Cell, FMS Delhi",Work From Home,Starts immediatelyImmediately,1 Month,Performance Based,18 Feb' 22,"Internship                

                Part time allowed                

                Internship",https://internshala.com/internships/marketing-internship/page-1
5,Campus Ambassador,"AAKAAR, IIT Bombay",Work From Home,Starts immediatelyImmediately,2 Months,Performance Based,18 Feb' 22,"Internship                

                Part time allowed                

                Internship",https://internshala.com/internships/marketing-internship/page-1
6,Marketing,BYJU'S The Learning App,"Mangaluru, Hubli, Haveri, Hassan, Arsikere, Belgaum",Starts immediatelyImmediately,4 Months,20000 /month,17 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
7,Marketing,BYJU'S The Learning App,Hyderabad,Starts immediatelyImmediately,2 Months,20000 /month,18 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
8,Marketing,BYJU'S The Learning App,Nagpur,Starts immediatelyImmediately,3 Months,18000 /month,17 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
9,Marketing,BYJU'S The Learning App,"Madurai, Theni",Starts immediatelyImmediately,2 Months,20000 /month,17 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
10,Marketing,BYJU'S The Learning App,"Ludhiana, Patiala",Starts immediatelyImmediately,2 Months,20000 /month,17 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
11,Marketing,BYJU'S The Learning App,"Kozhikode, Malappuram",Starts immediatelyImmediately,2 Months,18000 /month,16 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
12,Marketing,WWF-India,Delhi,Starts immediatelyImmediately,6 Months,10000 /month,16 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
13,Marketing,BYJU'S The Learning App,"Kollam, Kottayam, Kozhikode, Pathanamthitta, Thiruvananthapuram, Thrissur, Malappuram, Kasaragod, Alappuzha, Wayanad, Idukki, Ernakulam, Palakkad, Kannur",Starts immediatelyImmediately,2 Months,18000 /month,16 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
14,Marketing,BYJU'S - The Learning App,Hyderabad,Starts immediatelyImmediately,2 Months,20000 /month,15 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
15,Marketing,BYJU'S The Learning App,"Chandigarh, Jalandhar, Ludhiana",Starts immediatelyImmediately,2 Months,18000-20000 /month,15 Feb' 22,"Internship with job offer                

                Internship with job offer",https://internshala.com/internships/marketing-internship/page-1
16,Business Development (Sales),Urban Company,"Navi Mumbai, Mumbai",Starts immediatelyImmediately,5 Months,15000 /month,15 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
17,Business Development (Sales),Urban Company,Patna,Starts immediatelyImmediately,6 Months,8000-10000 /month,15 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
18,Business Development (Sales),Urban Company,Udaipur,Starts immediatelyImmediately,1 Month,12000 /month,15 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
19,Marketing,PharmEasy,Mumbai,Starts immediatelyImmediately,3 Months,5000 /month,15 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
20,Marketing,BYJU'S The Learning App,"Kozhikode, Malappuram",Starts immediatelyImmediately,2 Months,18000 /month,15 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
21,Marketing,BYJU'S The Learning App,"Vijayapura, Haveri, Arsikere, Chikmagalur",Starts immediatelyImmediately,3 Months,20000 /month,15 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
22,Marketing,BYJU'S The Learning App,Chennai,Starts immediatelyImmediately,3 Months,20000 /month,14 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
23,Campus Ambassador,"Antaragni, IIT Kanpur",Work From Home,Starts immediatelyImmediately,3 Months,Performance Based,14 Feb' 22,"Internship                

                Part time allowed                

                Internship",https://internshala.com/internships/marketing-internship/page-1
24,Marketing,BYJU'S The Learning App,Moradabad,Starts immediatelyImmediately,3 Months,15000 /month +  Incentives,12 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
25,Marketing,BYJU'S The Learning App,"Margao, Panjim, Vasco Da Gama, Ponda, Mapusa",Starts immediatelyImmediately,2 Months,19800 /month,11 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
26,Business Development (Sales),BYJU'S - The Learning App,"Ahmedabad, Agra, Bhubaneswar, Chandigarh, Chennai, Dehradun, Delhi, Guwahati, Pune, Bangalore, Bhopal, Mumbai, Jaipur, Noida, Bihar",Starts immediatelyImmediately,5 Months,24000 /month +  Incentives,11 Feb' 22,"Internship with job offer                

                Internship with job offer",https://internshala.com/internships/marketing-internship/page-1
27,Marketing,BYJU'S The Learning App,Jhansi,Starts immediatelyImmediately,3 Months,12000-15000 /month,10 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
28,Marketing,LBB (Little Black Book),Delhi,Starts immediatelyImmediately,3 Months,8000 /month,16 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
29,Marketing,BYJU'S The Learning App,"Mysuru, Chitradurga, Hassan, Tumkur, Davanagere",Starts immediatelyImmediately,1 Month,20000 /month,10 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
30,Marketing,Confederation Of Indian Industry (CII),Delhi,Starts immediatelyImmediately,6 Months,8000 /month,9 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
31,Marketing,Viacom India LLP,Gurgaon,Starts immediatelyImmediately,6 Months,3000-6000 /month,9 Feb' 22,"Internship with job offer                

                Part time allowed                

                Internship with job offer",https://internshala.com/internships/marketing-internship/page-1
32,Marketing,Decathlon Sports India,Bangalore,Starts immediatelyImmediately,2 Months,8000 /month +  Incentives,8 Feb' 22,"Internship                

                Part time allowed                

                Internship",https://internshala.com/internships/marketing-internship/page-1
33,Marketing,BYJU'S - The Learning App,"Bokaro Steel City, Dhanbad, Deoghar, Hazaribagh",Starts immediatelyImmediately,2 Months,20000 /month,8 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
34,Marketing,Times Internet,Work From Home,Starts immediatelyImmediately,6 Months,6000 /month,8 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
35,Sales Operations,BookMyShow,Mumbai,Starts immediatelyImmediately,6 Months,7500 /month,8 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
36,Campus Ambassador,IIT Delhi,Work From Home,Starts immediatelyImmediately,1 Month,Performance Based,7 Feb' 22,"Internship                

                Part time allowed                

                Internship",https://internshala.com/internships/marketing-internship/page-1
