ints_id,title,company,location,link,Ramesh,Ritesh,Rohit,Divya,Pooja,Ravi,Mansi,Hitesh,Tejas,Sonal,Rahul,Sourabh,nishu314@gmail.com,talk2nishantn@gmail.com,N@gmail.com,dubeyrahul@gmail.com
1,#MyCareerMyChoice,Say no to career stereotypes! Say yes to being you!,,https://internshala.com/internships/marketing-internship/page-1,,3.0,,,,,3.0,,4.0,,2.0,,,,,
2,Campus Ambassador,International Model United Nations,Work From Home,https://internshala.com/internships/marketing-internship/page-1,,,5.0,,3.0,,3.0,,,,,,,,,
3,Marketing,MakeMyTrip,"Gurgaon, Bangalore",https://internshala.com/internships/marketing-internship/page-1,,,,,5.0,,,,3.0,,,,,,,
4,PR & Marketing,CaratLane Trading Private Limited,Mumbai,https://internshala.com/internships/marketing-internship/page-1,,,4.0,,,3.0,,,,,3.0,,,,,
5,Campus Ambassador,"E Cell, FMS Delhi",Work From Home,https://internshala.com/internships/marketing-internship/page-1,1.0,,,,,1.0,,,3.0,,,,,,,
6,Campus Ambassador,"AAKAAR, IIT Bombay",Work From Home,https://internshala.com/internships/marketing-internship/page-1,2.0,,,,,,,,3.0,4.0,,,,,,
7,Marketing,BYJU'S The Learning App,"Mangaluru, Hubli, Haveri, Hassan, Arsikere, Belgaum",https://internshala.com/internships/marketing-internship/page-1,1.0,,4.0,,,1.0,2.0,,,2.0,,,,,,
8,Marketing,BYJU'S The Learning App,Hyderabad,https://internshala.com/internships/marketing-internship/page-1,,,,,,,,,,3.0,,,,,,
9,Marketing,BYJU'S The Learning App,Nagpur,https://internshala.com/internships/marketing-internship/page-1,2.0,5.0,,,,,3.0,,,,,,,,,
10,Marketing,BYJU'S The Learning App,"Madurai, Theni",https://internshala.com/internships/marketing-internship/page-1,,,5.0,4.0,,,,,,,5.0,,,,,
11,Marketing,BYJU'S The Learning App,"Ludhiana, Patiala",https://internshala.com/internships/marketing-internship/page-1,,4.0,1.0,,,,,2.0,,4.0,,,,,,
12,Marketing,BYJU'S The Learning App,"Kozhikode, Malappuram",https://internshala.com/internships/marketing-internship/page-1,5.0,,,,,1.0,3.0,,4.0,,,,,,,
13,Marketing,WWF-India,Delhi,https://internshala.com/internships/marketing-internship/page-1,,,1.0,,,,,,,,,,,,,
14,Marketing,BYJU'S The Learning App,"Kollam, Kottayam, Kozhikode, Pathanamthitta, Thiruvananthapuram, Thrissur, Malappuram, Kasaragod, Alappuzha, Wayanad, Idukki, Ernakulam, Palakkad, Kannur",https://internshala.com/internships/marketing-internship/page-1,,4.0,,,1.0,,,,,,,,,,,
15,Marketing,BYJU'S - The Learning App,Hyderabad,https://internshala.com/internships/marketing-internship/page-1,,,1.0,,,,,3.0,,,,5.0,,,,
16,Marketing,BYJU'S The Learning App,"Chandigarh, Jalandhar, Ludhiana",https://internshala.com/internships/marketing-internship/page-1,,,,1.0,,,,5.0,5.0,,,2.0,,,,
17,Business Development (Sales),Urban Company,"Navi Mumbai, Mumbai",https://internshala.com/internships/marketing-internship/page-1,,,,,,,,,,4.0,,,,,,
18,Business Development (Sales),Urban Company,Patna,https://internshala.com/internships/marketing-internship/page-1,5.0,2.0,,,,,5.0,,,,,1.0,,,,
19,Business Development (Sales),Urban Company,Udaipur,https://internshala.com/internships/marketing-internship/page-1,,,,,2.0,,,,,,,2.0,,,,
20,Marketing,PharmEasy,Mumbai,https://internshala.com/internships/marketing-internship/page-1,,,,3.0,2.0,,3.0,4.0,,,4.0,,,,,
21,Marketing,BYJU'S The Learning App,"Kozhikode, Malappuram",https://internshala.com/internships/marketing-internship/page-1,,,,,,,,,,,,,,,,
22,Marketing,BYJU'S The Learning App,"Vijayapura, Haveri, Arsikere, Chikmagalur",https://internshala.com/internships/marketing-internship/page-1,,,,,,,,,,,4.0,,,,,
23,Marketing,BYJU'S The Learning App,Chennai,https://internshala.com/internships/marketing-internship/page-1,,,,,3.0,4.0,1.0,,,5.0,,,,,,
24,Campus Ambassador,"Antaragni, IIT Kanpur",Work From Home,https://internshala.com/internships/marketing-internship/page-1,,,,,,3.0,,5.0,,4.0,,3.0,,,,
25,Marketing,BYJU'S The Learning App,Moradabad,https://internshala.com/internships/marketing-internship/page-1,,,,,,,,,,,,,,,,
26,Marketing,BYJU'S The Learning App,"Margao, Panjim, Vasco Da Gama, Ponda, Mapusa",https://internshala.com/internships/marketing-internship/page-1,,4.0,,,3.0,,,,2.0,,,,,,,
27,Business Development (Sales),BYJU'S - The Learning App,"Ahmedabad, Agra, Bhubaneswar, Chandigarh, Chennai, Dehradun, Delhi, Guwahati, Pune, Bangalore, Bhopal, Mumbai, Jaipur, Noida, Bihar",https://internshala.com/internships/marketing-internship/page-1,,,,,1.0,5.0,,,4.0,,1.0,,,,,
28,Marketing,BYJU'S The Learning App,Jhansi,https://internshala.com/internships/marketing-internship/page-1,5.0,5.0,4.0,,3.0,,1.0,,,,5.0,1.0,,,,
29,Marketing,LBB (Little Black Book),Delhi,https://internshala.com/internships/marketing-internship/page-1,,5.0,,,,,,,2.0,1.0,,,,,,
30,Marketing,BYJU'S The Learning App,"Mysuru, Chitradurga, Hassan, Tumkur, Davanagere",https://internshala.com/internships/marketing-internship/page-1,,,2.0,,,,,,4.0,,,5.0,,,,
31,Marketing,Confederation Of Indian Industry (CII),Delhi,https://internshala.com/internships/marketing-internship/page-1,1.0,,5.0,,3.0,,,4.0,,,,1.0,,,,
32,Marketing,Viacom India LLP,Gurgaon,https://internshala.com/internships/marketing-internship/page-1,,,3.0,,5.0,,1.0,,1.0,,1.0,,,,,
33,Marketing,Decathlon Sports India,Bangalore,https://internshala.com/internships/marketing-internship/page-1,,,,,,,,1.0,2.0,,,2.0,,,,
34,Marketing,BYJU'S - The Learning App,"Bokaro Steel City, Dhanbad, Deoghar, Hazaribagh",https://internshala.com/internships/marketing-internship/page-1,,,,,3.0,,4.0,,1.0,,,,,,,
35,Marketing,Times Internet,Work From Home,https://internshala.com/internships/marketing-internship/page-1,,,,,,,3.0,,,,,,,,,
36,Sales Operations,BookMyShow,Mumbai,https://internshala.com/internships/marketing-internship/page-1,,2.0,,,5.0,,,,5.0,,,,,,,
37,Campus Ambassador,IIT Delhi,Work From Home,https://internshala.com/internships/marketing-internship/page-1,5.0,,,,,,,,,2.0,,2.0,,,,
38,Business Development (Sales),Decathlon Sports India,"Pimpri-Chinchwad, Wakadi, Punewadi, Tathavada",https://internshala.com/internships/marketing-internship/page-1,,,,,,,,,,3.0,,,,,,
39,Business Development (Sales),Times Internet,Work From Home,https://internshala.com/internships/marketing-internship/page-1,,,,,,,,1.0,,,1.0,,,,,
40,Marketing,BYJU'S The Learning App,Dehradun,https://internshala.com/internships/marketing-internship/page-1,,,,,,3.0,,,,3.0,3.0,,,,,
41,Marketing,BYJU'S The Learning App,Indore,https://internshala.com/internships/marketing-internship/page-1,2.0,1.0,5.0,2.0,,,5.0,,,1.0,,5.0,,,,
42,#MyCareerMyChoice,Say no to career stereotypes! Say yes to being you!,,https://internshala.com/internships/marketing-internship/page-2,4.0,4.0,,,,,,,5.0,3.0,,,,,,
43,Business Development (Sales),Adstacks Media,Work From Home,https://internshala.com/internships/marketing-internship/page-2,,4.0,,,,,5.0,4.0,,2.0,,,,,,
44,Business Development (Sales),MandatoryTrendz,Work From Home,https://internshala.com/internships/marketing-internship/page-2,,,2.0,3.0,5.0,,,,,4.0,,5.0,,,,
45,Business Development (Sales),DIY Schools,"Lucknow, Bangalore",https://internshala.com/internships/marketing-internship/page-2,,,,,,,,,,3.0,,,,,,
46,Marketing,Project ProEd,Work From Home,https://internshala.com/internships/marketing-internship/page-2,,,,1.0,,1.0,3.0,,,,,,,,,
47,Business Development (Sales),Innovators And You,Work From Home,https://internshala.com/internships/marketing-internship/page-2,,,,,,,,,2.0,5.0,5.0,,,,,
48,Business Development (Sales),Newsway Private Limited,Work From Home,https://internshala.com/internships/marketing-internship/page-2,3.0,,2.0,,,2.0,,,,,,,,,,
49,Business Development (Sales),Traaexplore Private Limited,Bangalore,https://internshala.com/internships/marketing-internship/page-2,,,,,,,,,,3.0,,,,,,
50,Business Development (Sales),Teqnezma Electronics Private Limited,Work From Home,https://internshala.com/internships/marketing-internship/page-2,,,,,,,,,,,,,,,,
51,Business Development (Sales),CavenX,Work From Home,https://internshala.com/internships/marketing-internship/page-2,,,,,5.0,,,1.0,,,5.0,,,,,
52,Business Development (Sales),Estatepedia,Gurgaon,https://internshala.com/internships/marketing-internship/page-2,,,5.0,,,,,,1.0,5.0,,,,,,
53,Business Development (Sales),BPB Online,Delhi,https://internshala.com/internships/marketing-internship/page-2,,,,,,,,,,1.0,,,,,,
54,Business Development (Sales),Vistalink Infotech Private Limited,Surat,https://internshala.com/internships/marketing-internship/page-2,,,,,,,,,,,,1.0,,,,
55,Marketing,Codeif Technologies Private Limited,Work From Home,https://internshala.com/internships/marketing-internship/page-2,3.0,3.0,,,,,,,,3.0,,5.0,,,,
56,Business Development (Sales),Biodesign Innovation Labs Private Limited,"Ahmedabad, Chennai, Delhi, Kolkata, Pune, Bangalore, Hyderabad, Mumbai",https://internshala.com/internships/marketing-internship/page-2,,,,1.0,,,,,,,,,,,,
57,Business Development (Sales),TLJ Digital Marketing LLP.,Ahmedabad,https://internshala.com/internships/marketing-internship/page-2,,,,,3.0,,4.0,,1.0,,1.0,,,,,
58,Business Development (Sales),OyeLabs,Work From Home,https://internshala.com/internships/marketing-internship/page-2,,,,,,,,,,4.0,5.0,,,,,
59,Marketing,Tech Sells,Work From Home,https://internshala.com/internships/marketing-internship/page-2,,,,,,2.0,,,,,1.0,4.0,,,,
60,Business Development (Sales),StackZeal Private Limited,Work From Home,https://internshala.com/internships/marketing-internship/page-2,,,,3.0,4.0,,,,2.0,,,,,,,
61,Marketing,Dohiti Bakehouse,Pune,https://internshala.com/internships/marketing-internship/page-2,,,,,,1.0,,3.0,,3.0,,2.0,,,,
62,Tele-Marketing,Lagan Mandap,Jaipur,https://internshala.com/internships/marketing-internship/page-2,5.0,,,3.0,,,,1.0,,1.0,,3.0,,,,
63,Pre-sales Management,TransWeb Global Incorporation,Work From Home,https://internshala.com/internships/marketing-internship/page-2,,,,,2.0,,,,,,,,,,,
64,Business Development (Sales),First Fly Services Pvt Ltd,Mumbai,https://internshala.com/internships/marketing-internship/page-2,1.0,5.0,,2.0,2.0,1.0,,2.0,4.0,,,,,,,
65,Marketing,Manpreet Kaur,Gurgaon,https://internshala.com/internships/marketing-internship/page-2,3.0,,,,,,,,5.0,,3.0,,,,,
66,Business Development (Sales),Ukiyo Stays,Work From Home,https://internshala.com/internships/marketing-internship/page-2,,,3.0,,,,5.0,,,,,,,,,
67,Business Development (Sales),Mykates Private Limited,"Delhi, Ghaziabad, Greater Noida, Noida",https://internshala.com/internships/marketing-internship/page-2,,,2.0,4.0,,,,,,3.0,,,,,,
68,Business Development (Sales),THE AMAIZE GOURMET FOODS PVT LTD,Delhi,https://internshala.com/internships/marketing-internship/page-2,,,,5.0,,3.0,,4.0,,,,,,,,
69,Marketing,Spark Studio,Work From Home,https://internshala.com/internships/marketing-internship/page-2,,1.0,,,1.0,,1.0,,,,,,,,,
70,Growth Hacking,Kedia Capital Services Private Limited,Thane,https://internshala.com/internships/marketing-internship/page-2,,,,4.0,,,,,,,,,,,,
71,Business Development (Sales),Eatorgo LLP (Swadeshi Farms),Work From Home,https://internshala.com/internships/marketing-internship/page-2,1.0,,,,,,,,,2.0,3.0,,,,,
72,Sales,Reev,Bangalore,https://internshala.com/internships/marketing-internship/page-2,,,2.0,2.0,4.0,3.0,3.0,,,2.0,,,,,,
73,Marketing,Sovplym India,Pune,https://internshala.com/internships/marketing-internship/page-2,,2.0,5.0,,,1.0,,,,,,,,,,
74,Business Analytics,Vendify,Noida,https://internshala.com/internships/marketing-internship/page-2,1.0,,,,,,,,2.0,,,4.0,,,,
75,Business Development (Sales),Goodmeetings,Work From Home,https://internshala.com/internships/marketing-internship/page-2,,,1.0,,1.0,,,,,,,,,,,
76,Marketing,Livyoung Realtech Enterprises,Work From Home,https://internshala.com/internships/marketing-internship/page-2,,,,,,,,,,1.0,,1.0,,,,
77,Marketing,GeoSafe Technologies Private Limited,Ahmedabad,https://internshala.com/internships/marketing-internship/page-2,2.0,,,,5.0,,,,5.0,,,1.0,,,,
