,skills
0,linux windows python open source firmware ethernet soc information technology sata pcie
1,oo abap odata sapui5 cds hana ariba
2,machine learning go rabbitmq angular javascript software development
3,machine learning go rabbitmq angular javascript software development
4,fiori machine learning analytics bw cloud foundation javascript
5,fiori machine learning analytics bw cloud foundation javascript
6,docker kubernetes postgres odata rest protocols abap
7,sap platform security vault consul cloud hsms data structures java
8,css front end ux design continuous delivery design development sap fiori
9,spring boot rest web services design patterns cloud development software development
10,java data structures algorithms php software development life cycle programming
11,spring boot rest web services design patterns cloud development software development
12,java data structures algorithms php software development life cycle programming
13,vue typescript angular rest microservices artificial intelligence
14,testng algorithms oop spring framework junit sql
15,javascript spring framework rest api software development cloud foundry jenkins
16,swift android design patterns software engineering customer experience problem solving
17,javascript spring framework react js rest api software development jenkins programming java nodejs cloud foundry
18,hana native hana
19,automation perl front end data structures debugging python
20,networking python big data cloud distribution system infrastructure
21,automation perl front end data structures debugging python
22,data analysis sql data processing linux unix analytical
23,sql automation consulting analytics sap bw data warehousing
24,consulting excel training individual contributor management interpersonal skills
25,consulting management training individual contributor management delivery operations
26,consulting content management training instructor individual contributor management
27,sap abap debugging consulting functional testing business process
28,consulting excel international voice process training individual contributor management
29,consulting record report training individual contributor management interpersonal skills
30,consulting management training individual contributor management instructor
31,consulting management training individual contributor management instructor
32,consulting sap implementation otc ptp sap abap adobe forms
33,e learning consulting simulation high level design issue resolution design development management individual contributor management time management
34,e learning consulting simulation high level design issue resolution design development
35,sap application support data modeling rdbms consulting monitoring
36,sap application support data modeling rdbms consulting monitoring
37,consulting excel training individual contributor interpersonal skills client relationship
38,sap abap application support consulting front end business process
39,customer service telecom consulting excel training individual contributor
40,consulting customer service training instructor individual contributor interpersonal skills
41,consulting e learning issue resolution simulation content designing design development
42,consulting e learning issue resolution simulation content designing design development
43,consulting customer service training instructor individual contributor interpersonal skills client relationship professional services management
44,consulting e learning issue resolution simulation content designing design development
45,consulting financial planning management record report training individual contributor
46,data warehousing data modeling sap bw strong communication skills business process abap
47,redux project life cycle software quality assurance agile markup languages test planning
48,shopify developer digital commerce team management project management shopify software configuration management
49,project management team management software configuration client interfacing microservices java
50,angular developer sdlc agile methodologies architecture design principles performance engineering
51,information technology coding process management git mobile application development web application development
52,module pool programming badi idocs ess sap hr hana
53,consulting digital transformation technology solutions effort estimation vendor evaluation tririga developer
54,module pool programming badi idocs ess hana oops
55,intellectual property automation front end agile open source test cases
56,unix linux aix debugging system architecture assurance
57,core java eureka j2ee jpa microservices design patterns
58,project management java react js core java
59,sql networking db2 windows apache shell scripting
60,service management analytical documentation core operational support processes extracting analyzing
61,mern stack programming language analytical sdlc software engineering
62,automation perl front end data structures debugging python
63,backend automation perl scrum python hp data protector
64,backend automation perl scrum python hp data protector
65,angular react js html css javascript
66,consulting excel training instructor individual contributor management
67,gnu ipc dll c gerrit tizen
68,risk management mysql cloud test driven development staffing risk mitigation
69,solution design sql manager quality assurance business operations business process monitoring
70,leadership development learning development training development talent management organization development talent development
71,sql queries data warehousing etl data architecture data integration informatica power center
72,react js developer sdlc operating system programming language software engineering test cases
73,uipath rpa
74,java j2ee sailpoint identity access management forgerock user provisioning oracle ldap rbac password management
75,forgerock identity access management
76,ldap active directory mobile applications web technologies management saml
77,c net mssql oop api rest
78,kafka java design development streams product development high availability
79,verilog debugging vhdl pcie uvm hardware design
80,j2ee core java jsp virtualization software design design development
81,linux python networking agile virtualization cloud
82,linux python networking agile virtualization cloud
83,budgeting balance sheet product management application development agile metadata
84,budgeting balance sheet product management application development agile metadata
85,c linux python
86,sql sap data structures consulting business process web intelligence
87,content development training instructional design e learning content designing learning
88,application development platform development power bi technology solutions production support automation testing json application development lifecycle sql
89,android framework aosp
90,javascript odata sap fiori oauth web technologies workflow
91,hadoop pyspark hdfs hive aws glue pig
92,oracle database etl informatica idq data warehousing shell scripting
93,consulting e learning content management issue resolution simulation content designing
94,consulting order management o2c training individual contributor management interpersonal skills client relationship instructor professional services
95,rpa automation anywhere
96,rpa automation anywhere
97,angular javascript
98,angularjs javascript typescript ui html5 css3
99,react js ui development
100,cad c mfc geometric algorithm c wpf
101,core java spring advanced java multithreading microservices soap
102,linux ethernet tcp boardbring autosar
103,linux ethernet tcp boardbring autosar
104,javascript frameworks node js angular elastic search aws functional design
105,c uipath rpa net vb net vb
106,c uipath rpa net vb net vb
107,microservices java j2ee spring boot
108,logistics sales b2b sales sales
109,sql unix linux oracle brm application monitoring perl
110,project management sql data management eclipse data governance excel
111,spark java python nosql big data sql data engineering streaming continuous integration scala
112,automotive analytical robotics computer science algorithm development wellness
113,budgeting balance sheet product management application development agile metadata
114,cloud automation interpersonal skills testing analytical skills troubleshooting
115,linux python networking agile virtualization cloud
116,budgeting balance sheet product management application development agile metadata
117,project management java react js core java
118,javascript css front end mysql websockets web services
119,azure databricks bi projects azure azure data lake
120,oop siebel tools sql html ood javascript
121,microservices java plsql
122,spring boot rest api git nosql agile cloud
123,microservices java plsql
124,html5 css3 react js flux node js javascript
125,appian bpm sql jenkins sail webapi
126,sql auditing windows financial services oracle analytical
127,uipath rpa java c c
128,c c software development software engineering networking
129,c c software development software engineering networking
130,sql server azure databricks tabular model
131,javascript devops mongodb ci rest aws
132,sql microservices shell scripting mac linux go
133,xslt c duckcreek duckcreek policy duckcreek claims duckcreek billing
134,consulting primary skills effort estimation vendor evaluation problem solving mendix
135,business process management primary skills digital transformation technology solutions effort estimation vendor evaluation
136,design principles digital transformation primary skills software engineering technical analysis test cases
137,credit risk statistical modeling model validation scorecard sas risk modeler
138,axiom axiom controller view sql
139,credit risk statistical modeling model validation scorecard sas risk modeler
140,javascript devops mongodb ci rest aws
141,stored procedures sql ssis sql server ssrs cursor
142,stored procedures sql ssis sql server ssrs cursor
143,project life cycle software quality assurance agile test planning design principles unit testing
144,backend analytics sql html xml windows
145,project life cycle software quality assurance agile test planning design principles unit testing
146,autocad engineering design ansi switchgear mcc manufacturing process circuit breakers electrical engineering infrastructure manager technology
147,design development digital transformation aws sdlc agile performance engineering
148,windows python firmware wireless visual studio wifi
149,machine learning computer vision pattern recognition image processing ml topologies
150,machine learning computer vision pattern recognition image processing ml topologies
151,leadership development process quality management advisory cost
152,scala java kafka
153,javascript node js graphql jest ui testing react js
154,instructional design instructional designer learning experience developer instructional designing
155,sql server asp net mvc c wcf web api net core
156,c net rpa uipath a2019 a360 automation anywhere
157,python web development agile investment banking fixed income financial services
158,consulting digital transformation solution design technology solutions problem solving jbpm
159,consulting digital transformation effort estimation vendor evaluation wms
160,react js node js
161,oracle scheduling data modeling ms sql mysql oracle sql
162,oracle sql db2 apache big data spark
163,sql unix informatica teradata unix shell scripting data warehousing
164,ldap active directory mobile applications web technologies management saml
165,vue javascript html
166,python open source agile scrum data modeling hadoop
167,cloud data warehousing deployment
168,ldap active directory mobile applications web technologies management saml
169,web api angular front end asp net c sql server
170,hibernate java spring boot spring mvc microservices spring framework jsf activiti jbpm web services soa spark bpm
171,java ee spring j2ee camunda bpm rest bpmn
172,unix sql linux scala hadoop data domain
173,jms linux python automation software development life cycle spark
174,javascript html sfdc rest soap java
175,azure databricks pyspark delta lake
176,javascript dom redux jest highcharts rest api
177,hibernate spring boot core java jpa restful webservices web services
178,salesforce cpq spring cm cpq api
179,internship consulting salesforce machine learning backend ticketing
180,internship consulting salesforce machine learning backend ticketing
181,canoe embedded c canalyzer trace32 autosar lin
182,change management financial services human capital asset management analytics process improvement
183,github jenkins ci typescript javascript aws
184,embedded c spi i2c adc embedded software development gpio
185,cloud developer soa architectures json xml software development gcp
186,web services javascript microservices restful webservices container soa
187,talent development lms training management corporate training leadership development leadership training
188,embedded c linux
189,embedded c linux
190,automation jms open source consulting iso application packaging
191,consulting animation dts dom svg webgl
192,networking android agile visual studio sdk project planning
193,sql javascript crm python manager quality assurance agile
194,automation anywhere
195,talend talend open studio talend data integration suite aws java
196,ci cd tools sdlc rest api microservices architecture spring spring boot
197,sql rpa software design code review software development net
198,salesforce unit testing sales apex salesforce com sfdc
199,appian developer business process management appian java
200,servicenow hr itsm integration
201,android framework framework developer android framework developer aidl hidl jni
202,analytics healthcare supply chain leadership development social media biochemistry
203,automotive analytical robotics computer science machine learning agile algorithm development wellness medical insurance vehicle testing
204,consulting digital transformation technology solutions effort estimation vendor evaluation problem solving
205,automation perl front end data structures debugging python
206,project life cycle software quality assurance agile test planning testing tools design principles
207,linux kernel linux device drivers board bringup c programming
208,spring boot hibernate j2ee core java microservices jee
209,development manager mainframes db2 project management manual testing automation
210,coding python computer science sdlc machine learning computer vision
211,db2 documentum emc filenet alfresco analytical
212,salesforce unit testing sales apex salesforce com sfdc
213,sql shorthand reconciliation agile data warehousing plsql
214,e learning simulation content designing problem solving learning content design learning content analysis
215,react native
216,kubernetes terraform java jenkins spring git
217,spring struts core java sql db2 oracle sql debugging
218,salesforce unit testing sales apex salesforce com sfdc
219,javascript jquery software development ruby software engineering sql
220,e learning simulation content designing problem solving learning content design learning content analysis
221,rpgle as400 clle rpg cl
222,guidewire developer policy center config
