,Index,title,company,location,startdate,duration,stipend,apply,tags,link
0,0,mycareermychoice,Say no to career stereotypes! Say yes to being you!,,1-6 months 1-6 months,"Minimum ₹10,000",24th February,,,https://internshala.com/internships/marketing-internship/page-1
1,1,campus ambassador,International Model United Nations,Work From Home,Starts immediatelyImmediately,1 Month,Performance Based,2 Mar' 22,"Internship                

                Part time allowed                

                Internship",https://internshala.com/internships/marketing-internship/page-1
2,2,marketing,MakeMyTrip,"Gurgaon, Bangalore",Starts immediatelyImmediately,2 Months,2000 /month,18 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
3,3,pr marketing,CaratLane Trading Private Limited,Mumbai,Starts immediatelyImmediately,6 Months,10000 /month,18 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
4,4,campus ambassador,"E Cell, FMS Delhi",Work From Home,Starts immediatelyImmediately,1 Month,Performance Based,18 Feb' 22,"Internship                

                Part time allowed                

                Internship",https://internshala.com/internships/marketing-internship/page-1
5,5,campus ambassador,"AAKAAR, IIT Bombay",Work From Home,Starts immediatelyImmediately,2 Months,Performance Based,18 Feb' 22,"Internship                

                Part time allowed                

                Internship",https://internshala.com/internships/marketing-internship/page-1
6,6,marketing,BYJU'S The Learning App,"Mangaluru, Hubli, Haveri, Hassan, Arsikere, Belgaum",Starts immediatelyImmediately,4 Months,20000 /month,17 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
7,7,marketing,BYJU'S The Learning App,Hyderabad,Starts immediatelyImmediately,2 Months,20000 /month,18 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
8,8,marketing,BYJU'S The Learning App,Nagpur,Starts immediatelyImmediately,3 Months,18000 /month,17 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
9,9,marketing,BYJU'S The Learning App,"Madurai, Theni",Starts immediatelyImmediately,2 Months,20000 /month,17 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
10,10,marketing,BYJU'S The Learning App,"Ludhiana, Patiala",Starts immediatelyImmediately,2 Months,20000 /month,17 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
11,11,marketing,BYJU'S The Learning App,"Kozhikode, Malappuram",Starts immediatelyImmediately,2 Months,18000 /month,16 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
12,12,marketing,WWF-India,Delhi,Starts immediatelyImmediately,6 Months,10000 /month,16 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
13,13,marketing,BYJU'S The Learning App,"Kollam, Kottayam, Kozhikode, Pathanamthitta, Thiruvananthapuram, Thrissur, Malappuram, Kasaragod, Alappuzha, Wayanad, Idukki, Ernakulam, Palakkad, Kannur",Starts immediatelyImmediately,2 Months,18000 /month,16 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
14,14,marketing,BYJU'S - The Learning App,Hyderabad,Starts immediatelyImmediately,2 Months,20000 /month,15 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
15,15,marketing,BYJU'S The Learning App,"Chandigarh, Jalandhar, Ludhiana",Starts immediatelyImmediately,2 Months,18000-20000 /month,15 Feb' 22,"Internship with job offer                

                Internship with job offer",https://internshala.com/internships/marketing-internship/page-1
16,16,business development sale,Urban Company,"Navi Mumbai, Mumbai",Starts immediatelyImmediately,5 Months,15000 /month,15 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
17,17,business development sale,Urban Company,Patna,Starts immediatelyImmediately,6 Months,8000-10000 /month,15 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
18,18,business development sale,Urban Company,Udaipur,Starts immediatelyImmediately,1 Month,12000 /month,15 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
19,19,marketing,PharmEasy,Mumbai,Starts immediatelyImmediately,3 Months,5000 /month,15 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
20,20,marketing,BYJU'S The Learning App,"Kozhikode, Malappuram",Starts immediatelyImmediately,2 Months,18000 /month,15 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
21,21,marketing,BYJU'S The Learning App,"Vijayapura, Haveri, Arsikere, Chikmagalur",Starts immediatelyImmediately,3 Months,20000 /month,15 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
22,22,marketing,BYJU'S The Learning App,Chennai,Starts immediatelyImmediately,3 Months,20000 /month,14 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
23,23,campus ambassador,"Antaragni, IIT Kanpur",Work From Home,Starts immediatelyImmediately,3 Months,Performance Based,14 Feb' 22,"Internship                

                Part time allowed                

                Internship",https://internshala.com/internships/marketing-internship/page-1
24,24,marketing,BYJU'S The Learning App,Moradabad,Starts immediatelyImmediately,3 Months,15000 /month +  Incentives,12 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
25,25,marketing,BYJU'S The Learning App,"Margao, Panjim, Vasco Da Gama, Ponda, Mapusa",Starts immediatelyImmediately,2 Months,19800 /month,11 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
26,26,business development sale,BYJU'S - The Learning App,"Ahmedabad, Agra, Bhubaneswar, Chandigarh, Chennai, Dehradun, Delhi, Guwahati, Pune, Bangalore, Bhopal, Mumbai, Jaipur, Noida, Bihar",Starts immediatelyImmediately,5 Months,24000 /month +  Incentives,11 Feb' 22,"Internship with job offer                

                Internship with job offer",https://internshala.com/internships/marketing-internship/page-1
27,27,marketing,BYJU'S The Learning App,Jhansi,Starts immediatelyImmediately,3 Months,12000-15000 /month,10 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
28,28,marketing,LBB (Little Black Book),Delhi,Starts immediatelyImmediately,3 Months,8000 /month,16 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
29,29,marketing,BYJU'S The Learning App,"Mysuru, Chitradurga, Hassan, Tumkur, Davanagere",Starts immediatelyImmediately,1 Month,20000 /month,10 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
30,30,marketing,Confederation Of Indian Industry (CII),Delhi,Starts immediatelyImmediately,6 Months,8000 /month,9 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
31,31,marketing,Viacom India LLP,Gurgaon,Starts immediatelyImmediately,6 Months,3000-6000 /month,9 Feb' 22,"Internship with job offer                

                Part time allowed                

                Internship with job offer",https://internshala.com/internships/marketing-internship/page-1
32,32,marketing,Decathlon Sports India,Bangalore,Starts immediatelyImmediately,2 Months,8000 /month +  Incentives,8 Feb' 22,"Internship                

                Part time allowed                

                Internship",https://internshala.com/internships/marketing-internship/page-1
33,33,marketing,BYJU'S - The Learning App,"Bokaro Steel City, Dhanbad, Deoghar, Hazaribagh",Starts immediatelyImmediately,2 Months,20000 /month,8 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
34,34,marketing,Times Internet,Work From Home,Starts immediatelyImmediately,6 Months,6000 /month,8 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
35,35,sale operation,BookMyShow,Mumbai,Starts immediatelyImmediately,6 Months,7500 /month,8 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
36,36,campus ambassador,IIT Delhi,Work From Home,Starts immediatelyImmediately,1 Month,Performance Based,7 Feb' 22,"Internship                

                Part time allowed                

                Internship",https://internshala.com/internships/marketing-internship/page-1
37,37,business development sale,Decathlon Sports India,"Pimpri-Chinchwad, Wakadi, Punewadi, Tathavada",Starts immediatelyImmediately,3 Months,5000 /month,6 Feb' 22,"Internship with job offer                

                Part time allowed                

                Internship with job offer",https://internshala.com/internships/marketing-internship/page-1
38,38,business development sale,Times Internet,Work From Home,Starts immediatelyImmediately,6 Months,7000 /month,25 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
39,39,marketing,BYJU'S The Learning App,Dehradun,Starts immediatelyImmediately,1 Month,20000 /month,23 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
40,40,marketing,BYJU'S The Learning App,Indore,Starts immediatelyImmediately,2 Months,20000 /month,10 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-1
41,41,mycareermychoice,Say no to career stereotypes! Say yes to being you!,,1-6 months 1-6 months,"Minimum ₹10,000",24th February,,,https://internshala.com/internships/marketing-internship/page-2
42,42,business development sale,Adstacks Media,Work From Home,Starts immediatelyImmediately,6 Months,10000 /month,18 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-2
43,43,business development sale,MandatoryTrendz,Work From Home,Starts immediatelyImmediately,1 Month,10000 /month,18 Feb' 22,"Internship                

                Part time allowed                

                Internship",https://internshala.com/internships/marketing-internship/page-2
44,44,business development sale,DIY Schools,"Lucknow, Bangalore",Starts immediatelyImmediately,6 Months,3000 /month,18 Feb' 22,"Internship                

                Part time allowed                

                Internship",https://internshala.com/internships/marketing-internship/page-2
45,45,marketing,Project ProEd,Work From Home,Starts immediatelyImmediately,1 Month,5000 /month,18 Feb' 22,"Internship                

                Part time allowed                

                Internship",https://internshala.com/internships/marketing-internship/page-2
46,46,business development sale,Innovators And You,Work From Home,Starts immediatelyImmediately,1 Month,6000-10000 /month,18 Feb' 22,"Internship with job offer                

                Part time allowed                

                Internship with job offer",https://internshala.com/internships/marketing-internship/page-2
47,47,business development sale,Newsway Private Limited,Work From Home,Starts immediatelyImmediately,3 Months,10000 /month +  Incentives,18 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-2
48,48,business development sale,Traaexplore Private Limited,Bangalore,Starts immediatelyImmediately,6 Months,5000 /month,18 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-2
49,49,business development sale,Teqnezma Electronics Private Limited,Work From Home,Starts immediatelyImmediately,2 Months,15000 /month +  Incentives,18 Feb' 22,"Internship with job offer                

                Part time allowed                

                Internship with job offer",https://internshala.com/internships/marketing-internship/page-2
50,50,business development sale,CavenX,Work From Home,Starts immediatelyImmediately,1 Month,1000 /month +  Incentives,18 Feb' 22,"Internship with job offer                

                Part time allowed                

                Internship with job offer",https://internshala.com/internships/marketing-internship/page-2
51,51,business development sale,Estatepedia,Gurgaon,Starts immediatelyImmediately,3 Months,5000 /month +  Incentives,18 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-2
52,52,business development sale,BPB Online,Delhi,Starts immediatelyImmediately,3 Months,7000 /month,18 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-2
53,53,business development sale,Vistalink Infotech Private Limited,Surat,Starts immediatelyImmediately,2 Months,10000 /month,18 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-2
54,54,marketing,Codeif Technologies Private Limited,Work From Home,Starts immediatelyImmediately,2 Months,1000 /month +  Incentives,18 Feb' 22,"Internship                

                Part time allowed                

                Internship",https://internshala.com/internships/marketing-internship/page-2
55,55,business development sale,Biodesign Innovation Labs Private Limited,"Ahmedabad, Chennai, Delhi, Kolkata, Pune, Bangalore, Hyderabad, Mumbai",Starts immediatelyImmediately,6 Months,15000 /month +  Incentives,18 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-2
56,56,business development sale,TLJ Digital Marketing LLP.,Ahmedabad,Starts immediatelyImmediately,3 Months,7000-10000 /month,18 Feb' 22,"Internship                

                Internship",https://internshala.com/internships/marketing-internship/page-2
