,title,company,location,startdate,duration,stipend,apply,tags,link
0,#SummerWithInternshala,Gear up for a summer of success!,,,,,,,https://internshala.com//summer-with-internshala?utm_source=internship_card
1,Internshala Student Partner,Internshala,Work From Home,2 Mar - 11 Apr' 22,1 Month,Performance Based,18 Mar' 22,"Internship                

                    Internship",https://internshala.com//internship/detail/internship-at-internshala1645609621
2,Machine Learning Engineering,IIT Bombay,Work From Home,Starts immediatelyImmediately,6 Months,5000-8000 /month,19 Mar' 22,"Internship                

                    Internship",https://internshala.com//internship/detail/machine-learning-engineering-work-from-home-job-internship-at-iit-bombay1646407829
3,Web Development,Fashion TV India,Mumbai,Starts immediatelyImmediately,3 Months,5000 /month,13 Mar' 22,"Internship                

                    Internship",https://internshala.com//internship/detail/web-development-internship-in-mumbai-at-fashion-tv-india1645790812
4,Product Support Engineering,Directi,"Bangalore, Thane, Navi Mumbai, Mumbai",Starts immediatelyImmediately,6 Months,20000 /month,10 Mar' 22,"Internship with job offer                

                    Internship with job offer",https://internshala.com//internship/detail/product-support-engineering-internship-in-multiple-locations-at-directi1645681136
5,Quality Analytics,BookMyShow,Mumbai,Starts immediatelyImmediately,6 Months,10000 /month,10 Mar' 22,"Internship                

                    Internship",https://internshala.com//internship/detail/quality-analytics-internship-in-mumbai-at-bookmyshow1645685647
6,Product Management,BookMyShow,Mumbai,Starts immediatelyImmediately,6 Months,10000 /month,10 Mar' 22,"Internship                

                    Internship",https://internshala.com//internship/detail/product-management-internship-in-mumbai-at-bookmyshow1645683324
7,C++ Development (QT Creation),IIT Bombay,Work From Home,Starts immediatelyImmediately,6 Months,1000-2000 /month,9 Mar' 22,"Internship                

                    Internship",https://internshala.com//internship/detail/c-development-qt-creation-work-from-home-job-internship-at-iit-bombay1645616997
8,Computer Vision,BYJU'S - The Learning App,Bangalore,Starts immediatelyImmediately,4 Months,25000 /month,8 Mar' 22,"Internship                

                    Internship",https://internshala.com//internship/detail/computer-vision-internship-in-bangalore-at-byjus-the-learning-app1645427378
9,UGC NET Content Development (Computer Application),GradeStack Learning Private Limited,Work From Home,Starts immediatelyImmediately,3 Months,1000-4000 /month,7 Mar' 22,"Internship                

                    Part time allowed                

                    Internship",https://internshala.com//internship/detail/ugc-net-content-development-computer-application-work-from-home-job-internship-at-gradestack-learning-private-limited1645417307
10,Product Management,Hungama Digital Media Entertainment Private Limited,Mumbai,Starts immediatelyImmediately,6 Months,10000 /month,17 Mar' 22,"Internship                

                    Internship",https://internshala.com//internship/detail/product-management-internship-in-mumbai-at-hungama-digital-media-entertainment-private-limited1644403421
11,iOS App Development,BookMyShow,"Bangalore, Mumbai",Starts immediatelyImmediately,3 Months,10000 /month,11 Mar' 22,"Internship                

                    Internship",https://internshala.com//internship/detail/ios-app-development-internship-in-bangalore-mumbai-at-bookmyshow1643868644
12,App Support,IndiQus Technologies Private Limited,Work From Home,Starts immediatelyImmediately,6 Months,15000 /month,19 Mar' 22,"Internship                

                    Internship",https://internshala.com//internship/detail/app-support-work-from-home-job-internship-at-indiqus-technologies-private-limited1646389108
13,System Administration,WiJungle - by HttpCart,Gurgaon,Starts immediatelyImmediately,6 Months,13000-15000 /month,19 Mar' 22,"Internship with job offer                

                    Internship with job offer",https://internshala.com//internship/detail/system-administration-internship-in-gurgaon-at-wijungle-by-httpcart1646489145
14,Web Development,Web N App Maker,Surat,Starts immediatelyImmediately,3 Months,3500 /month,19 Mar' 22,"Internship                

                    Internship",https://internshala.com//internship/detail/web-development-internship-in-surat-at-web-n-app-maker1646391293
15,Web Development,GKB Labs LLP,Rajkot,Starts immediatelyImmediately,6 Months,15000 /month,19 Mar' 22,"Internship                

                    Internship",https://internshala.com//internship/detail/web-development-internship-in-rajkot-at-gkb-labs-llp1646487620
16,Mobile App Development,UXDLAB Software Private Limited,Noida,Starts immediatelyImmediately,3 Months,5000-10000 /month,19 Mar' 22,"Internship                

                    Internship",https://internshala.com//internship/detail/mobile-app-development-internship-in-noida-at-uxdlab-software-private-limited1646392186
17,Game Programming & Development,Famous Dogg Studios,Delhi,Starts immediatelyImmediately,4 Months,8000-12000 /month,19 Mar' 22,"Internship with job offer                

                    Internship with job offer",https://internshala.com//internship/detail/game-programming-development-internship-in-delhi-at-famous-dogg-studios1646390675
18,Blender/Maya Art,InfraRanking,Work From Home,Starts immediatelyImmediately,1 Month,8000 /month,19 Mar' 22,"Internship                

                    Internship",https://internshala.com//internship/detail/blender-maya-art-work-from-home-job-internship-at-infraranking1646486569
19,Web Development,Instasol Softtech,Pune,Starts immediatelyImmediately,3 Months,2000-4000 /month,19 Mar' 22,"Internship                

                    Internship",https://internshala.com//internship/detail/web-development-internship-in-pune-at-instasol-softtech1646387407
20,Robotics & Embedded Systems,Artenal,Work From Home,Starts immediatelyImmediately,5 Months,5000 /month,19 Mar' 22,"Internship                

                    Part time allowed                

                    Internship",https://internshala.com//internship/detail/robotics-embedded-systems-work-from-home-job-internship-at-artenal1646482298
21,Web Development,Daloopa,Work From Home,Starts immediatelyImmediately,6 Months,15000 /month,19 Mar' 22,"Internship with job offer                

                    Internship with job offer",https://internshala.com//internship/detail/web-development-work-from-home-job-internship-at-daloopa1646385875
22,Embedded Systems - IoT,Techvolt Software Private Limited,Coimbatore,Starts immediatelyImmediately,2 Months,2000 /month,19 Mar' 22,"Internship                

                    Part time allowed                

                    Internship",https://internshala.com//internship/detail/embedded-systems-iot-part-time-job-internship-at-coimbatore-in-techvolt-software-private-limited1646387275
23,Mobile App Development,Simplifii Labs Private Limited,Work From Home,Starts immediatelyImmediately,4 Months,14000 /month,19 Mar' 22,"Internship with job offer                

                    Part time allowed                

                    Internship with job offer",https://internshala.com//internship/detail/mobile-app-development-work-from-home-job-internship-at-simplifii-labs-private-limited1646387217
24,Frontend Development,Kanishka Software Private Limited,Work From Home,Starts immediatelyImmediately,6 Months,5000 /month,19 Mar' 22,"Internship                

                    Internship",https://internshala.com//internship/detail/frontend-development-work-from-home-job-internship-at-kanishka-software-private-limited1646480347
25,Mechanical Product Development,Lazy Idli Private Limited,Bangalore,Starts immediatelyImmediately,6 Months,12000 /month +  Incentives,19 Mar' 22,"Internship                

                    Internship",https://internshala.com//internship/detail/mechanical-product-development-internship-in-bangalore-at-lazy-idli-private-limited1646386961
26,Front End Development,AARHAT ISERV LLP,Kolkata,Starts immediatelyImmediately,4 Months,3500 /month,19 Mar' 22,"Internship with job offer                

                    Internship with job offer",https://internshala.com//internship/detail/front-end-development-internship-in-kolkata-at-aarhat-iserv-llp1646385705
27,Web Development,Homecrop,Hyderabad,Starts immediatelyImmediately,6 Months,18000-20000 /month,19 Mar' 22,"Internship with job offer                

                    Internship with job offer",https://internshala.com//internship/detail/web-development-internship-in-hyderabad-at-homecrop1646389099
28,Backend Development (Functional Programming),Juspay Technologies,Bangalore,Starts immediatelyImmediately,6 Months,40000 /month,19 Mar' 22,"Internship                

                    Internship",https://internshala.com//internship/detail/backend-development-functional-programming-internship-in-bangalore-at-juspay-technologies1646385678
29,WordPress & PHP Development,Knight Motion Media LLP,Pune,Starts immediatelyImmediately,3 Months,5000-8000 /month,19 Mar' 22,"Internship with job offer                

                    Internship with job offer",https://internshala.com//internship/detail/wordpress-php-development-internship-in-pune-at-knight-motion-media-llp1646385590
