course_title/users,Ramesh,Ritesh,Rohit,Divya,Pooja,Ravi,Mansi,Hitesh,Tejas,Sonal,Rahul,Sourabh
Ultimate Investment Banking Course,,,,1,,,,,,,,
Complete GST Course & Certification - Grow Your CA Practice,,,,,,,,,,0,,
Financial Modeling for Business Analysts and Consultants,,0,,,,,,,,,,
Beginner to Pro - Financial Analysis in Excel 2017,1,1,,,1,,0,,,,,
How To Maximize Your Profits Trading Options,,,1,,,,1,,,,,1
Trading Penny Stocks: A Guide for All Levels In 2017,,,,,,,,,,0,,1
Investing And Trading For Beginners: Mastering Price Charts,0,1,,,,0,0,0,,1,,
"Trading Stock Chart Patterns For Immediate, Explosive Gains",,,,0,,,,,,,,
Options Trading 3 : Advanced Stock Profit and Success Method,,,0,0,,,,1,,,,
The Only Investment Strategy You Need For Your Retirement,,,,,1,,,,,,,0
Forex Trading Secrets of the Pros With Amazon's AWS,,,,,,,,,,,,
Trading Options With Money Flow,,0,,,,,,,,0,0,
Financial Management Risk and Return For Securities,,,,,,,,0,,,,
Forex Trading Course: Work Smarter Not Harder Proven Results,,,,1,,,,,,,,
Python Algo Trading: Sentiment Trading with News,1,,,1,,1,,,,,,
Short Selling: Learn To Sell Stocks Before The Fall,,,0,,1,,,,1,,1,
Basic Technical Analysis: Learn the structure of the market,,,,,0,,,,,,,0
The Complete Chart Pattern Trading Course: A Proven Approach,,,,,1,,,0,,,,
7 Deadly Mistakes of Investing that Will Slash Your Profits!,,,,,,,,,1,,,
Financial Statements Made Easy,,,,,,,,,,,,
Winning Forex Trading with Live Forex Trading Examples,,,,,,,,,1,,,
Forex Traders - Create Your First Trading Robot. No Coding!,,0,,,0,,,,,,,0
Create A Business From Home Trading Stocks Today In 2017,,,,,,,,,,,,
Introduction to Accounting : Mastering Financial Statements,,,,0,,,,,,,,
The Complete Ethereum Course: Get .01 Ether In Your Wallet,,0,1,1,,,,,,,,1
Beginner to Pro in PowerPoint: Complete PowerPoint Training,,,,,0,,,,,,,
Investing 101: The Complete Online Investing Course,,,,0,,,,,,1,,
Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,,0,,0,,,,,,,,
Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),1,,,,,,,,,,,
Forex Trading: Your Complete Guide to Get Started Like a Pro,,,,,0,,,,,,,1
Python Algo Stock Trading: Automate Your Trading!,,,,,1,,,,,0,1,
THE Forex Robot: Incredible ROI (Robot Included),,,,,,0,,,,,,
The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,,,,,,1,,1,,,0,0
Mastering High Probability Iron Condor Options Trading,,,,,,,,1,,0,,
The Complete Short Course on Ethereum,,0,,,1,1,1,,,,,0
Options Trading Stocks: Proven Toolbox For Financial Success,,,,,,,,,,,0,
Forex Trading A-Z™ - With LIVE Examples of Forex Trading,,,,,,,,,1,,,0
"Introduction to Finance, Accounting, Modeling and Valuation",0,,,,,,,,,1,1,1
Beginner to Pro in Excel: Financial Modeling and Valuation,,1,,,,1,,,1,,,
The Complete Investment Banking Course 2017,,,,0,,,,,,,,
The Complete Financial Analyst Course 2017,,,0,,,,1,,,,,
