course_id,Ramesh,Ritesh,Rohit,Divya,Pooja,Ravi,Mansi,Hitesh,Tejas,Sonal,Rahul,Sourabh,Berriessdfssdfsdsgdfg
1070968,SHIV asdadas,3.0,,,,,3.0,,4.0,SHIV,2.0,,
1113822,,,5.0,,3.0,,3.0,,,,,,SHIV
1006314,,,,,5.0,,,,3.0,,,,
1210588,,,4.0,,,3.0,,,,,3.0,,CHANDRAs dfdg
1011058,1.0,,,,,1.0,,,3.0,SHIV asda,,,
192870,2.0,,,,,,,,3.0,4.0,,,
739964,1.0,,4.0,,,1.0,2.0,,,2.0,,,
403100,,,,,,,,,,3.0,,,
476268,2.0,5.0,,,,,3.0,,,,,,
1167710,,,5.0,4.0,,,,,,,5.0,,
592338,,4.0,1.0,,,,,2.0,,4.0,,,
975046,5.0,,,,,1.0,3.0,,4.0,,,,
742602,,,1.0,,,,,,,,,,
794151,,4.0,,,1.0,,,,,,,,
1196544,,,1.0,,,,,3.0,,,,5.0,
504036,,,,1.0,,,,5.0,5.0,,,2.0,
719698,,,,,,,,,,4.0,,,
564966,5.0,2.0,,,,,5.0,,,,,1.0,
606928,,,,,2.0,,,,,,,2.0,
58977,,,,3.0,2.0,,3.0,4.0,,,4.0,,
1242604,,,,,,,,,,,,,
798740,,,,,,,,,,,4.0,,
506568,,,,,3.0,4.0,1.0,,,5.0,,,
1020760,,,,,,3.0,,5.0,,4.0,,3.0,
859742,,,,,,,,,,,,,
383414,,4.0,,,3.0,,,,2.0,,,,
353044,,,,,1.0,5.0,,,4.0,,1.0,,
447362,5.0,5.0,4.0,,3.0,,1.0,,,,5.0,1.0,
831066,,5.0,,,,,,,2.0,1.0,,,
1266306,,,2.0,,,,,,4.0,,,5.0,
1170894,1.0,,5.0,,3.0,,,4.0,,,,1.0,
948974,,,3.0,,5.0,,1.0,,1.0,,1.0,,
380970,,,,,,,,1.0,2.0,,,2.0,
1217778,,,,,3.0,,4.0,,1.0,,,,
1246208,,,,,,,3.0,,,,,,
434774,,2.0,,,5.0,,,,5.0,,,,
308690,5.0,,,,,,,,,2.0,,2.0,
888716,,,,,,,,,,3.0,,,
321410,,,,,,,,1.0,,,1.0,,
965832,,,,,,3.0,,,,3.0,3.0,,
648826,2.0,1.0,5.0,2.0,,,5.0,,,1.0,,5.0,
1035472,4.0,4.0,,,,,,,5.0,3.0,,,
1154754,,4.0,,,,,5.0,4.0,,2.0,,,
