,skills
0,",Linux,Windows,Python,Open source,Firmware,Ethernet,SOC,Information technology,SATA,PCIE"
1,
2,",OO ABAP,Odata,Sapui5,Cds,Hana,Ariba"
3,
4,",Machine Learning,Go,Rabbitmq,Angular,Javascript,Software Development"
5,",Machine Learning,Go,Rabbitmq,Angular,Javascript,Software Development"
6,",FIORI,Machine learning,Analytics,BW,Cloud Foundation,Javascript"
7,",FIORI,Machine learning,Analytics,BW,Cloud Foundation,Javascript"
8,",Docker,Kubernetes,Postgres,OData,REST Protocols,ABAP"
9,",SAP Platform Security,Vault,Consul,Cloud HSMs,Data structures,Java"
10,",CSS,Front End,Ux Design,Continuous Delivery,Design Development,SAP Fiori"
11,",Spring Boot,Rest,Web Services,Design Patterns,Cloud Development,Software Development"
12,",Java,Data Structures,Algorithms,PHP,Software Development Life Cycle,Programming"
13,",Spring Boot,Rest,Web Services,Design Patterns,Cloud Development,Software Development"
14,",Java,Data Structures,Algorithms,PHP,Software Development Life Cycle,Programming"
15,
16,",Vue,Typescript,Angular,Rest,Microservices,Artificial Intelligence"
17,",Testng,Algorithms,OOP,Spring Framework,JUnit,SQL"
18,",JavaScript,Spring Framework,Rest API,Software Development,Cloud Foundry,Jenkins"
19,",Swift,Android,Design Patterns,Software Engineering,Customer Experience,Problem Solving"
20,",JavaScript,Spring Framework,React.Js,Rest API,Software Development,Jenkins,Programming,Java,NodeJS,Cloud Foundry"
21,
22,
23,
24,",Hana,native hana"
25,
26,",Automation,Perl,Front end,Data structures,Debugging,Python"
27,",Networking,Python,big data,Cloud,Distribution system,Infrastructure"
28,",Automation,Perl,Front end,Data structures,Debugging,Python"
29,",Data analysis,SQL,Data processing,Linux,Unix,Analytical"
30,",SQL,Automation,Consulting,Analytics,SAP BW,Data warehousing"
31,",Consulting,Excel,Training,Individual Contributor,management,Interpersonal skills"
32,",Consulting,Management,Training,Individual Contributor,management,delivery operations"
33,",Consulting,Content management,Training,Instructor,Individual Contributor,management"
34,",SAP,ABAP,Debugging,Consulting,Functional testing,Business process"
35,",Consulting,Excel,International voice process,Training,Individual Contributor,management"
36,",Consulting,record to report,Training,Individual Contributor,management,Interpersonal skills"
37,",Consulting,Management,Training,Individual Contributor,management,Instructor"
38,",Consulting,Management,Training,Individual Contributor,management,Instructor"
39,",Consulting,SAP implementation,OTC,PTP,SAP ABAP,Adobe Forms"
40,",E-learning,Consulting,Simulation,High level design,Issue resolution,Design development,Management,Individual Contributor,management,Time management"
41,",E-learning,Consulting,Simulation,High level design,Issue resolution,Design development"
42,",SAP,Application support,Data modeling,RDBMS,Consulting,Monitoring"
43,",SAP,Application support,Data modeling,RDBMS,Consulting,Monitoring"
44,",Consulting,Excel,Training,Individual Contributor,Interpersonal skills,Client relationship"
45,",SAP,ABAP,Application support,Consulting,Front end,Business process"
46,",Customer service,Telecom,Consulting,Excel,Training,Individual Contributor"
47,",Consulting,Customer service,Training,Instructor,Individual Contributor,Interpersonal skills"
48,",Consulting,E-learning,Issue resolution,Simulation,content designing,Design development"
49,",Consulting,E-learning,Issue resolution,Simulation,content designing,Design development"
50,",Consulting,Customer service,Training,Instructor,Individual Contributor,Interpersonal skills,Client relationship,professional services,Management"
51,",Consulting,E-learning,Issue resolution,Simulation,content designing,Design development"
52,",Consulting,Financial planning,Management,record to report,Training,Individual Contributor"
53,",Data Warehousing,Data Modeling,SAP BW,Strong Communication Skills,Business Process,ABAP"
54,
55,",Redux,Project Life Cycle,Software Quality Assurance,Agile,Markup Languages,Test Planning"
56,
57,
58,",Shopify Developer,Digital Commerce,Team management,Project management,Shopify,software configuration management"
59,",Project management,Team management,software configuration,Client Interfacing,Microservices,Java"
60,",Angular Developer,SDLC,agile methodologies,architecture,design principles,performance engineering"
61,
62,
63,",Information technology,Coding,Process management,GIT,Mobile application development,Web application development"
64,",Module Pool Programming,Badi,IDOCS,ESS,SAP HR,Hana"
65,",Consulting,Digital Transformation,Technology Solutions,Effort Estimation,Vendor Evaluation,Tririga Developer"
66,",Module Pool Programming,Badi,IDOCS,ESS,Hana,OOPS"
67,",Intellectual property,Automation,Front end,Agile,Open source,Test cases"
68,",Unix,Linux,Aix,Debugging,System architecture,Assurance"
69,",Core Java,Eureka,J2Ee,JPA,Microservices,Design Patterns"
70,
71,
72,
73,
74,",Project Management,Java,React.Js,Core Java"
75,",SQL,Networking,Db2,Windows,Apache,Shell scripting"
76,",service management,analytical,documentation,Core Operational Support Processes,extracting,analyzing"
77,",Mern Stack,Programming Language,Analytical,SDLC,Software Engineering"
78,",Automation,Perl,Front end,Data structures,Debugging,Python"
79,
80,",Backend,Automation,Perl,Scrum,Python,HP data protector"
81,",Backend,Automation,Perl,Scrum,Python,HP data protector"
82,
83,
84,
85,
86,
87,
88,",Angular,React.Js,HTML,CSS,Javascript"
89,",Consulting,Excel,Training,Instructor,Individual Contributor,management"
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,",GNU,IPC,DLL,C,Gerrit,Tizen"
111,",Risk management,MySQL,Cloud,test driven development,Staffing,Risk mitigation"
112,",Solution design,SQL,Manager Quality Assurance,Business operations,Business process,Monitoring"
113,",Leadership Development,Learning and Development,Training and Development,Talent Management,Organization Development,Talent Development"
114,",SQL Queries,Data Warehousing,ETL,Data Architecture,Data Integration,Informatica Power Center"
115,",React JS Developer,SDLC,Operating System,Programming Language,Software Engineering,Test Cases"
116,",Uipath,Rpa"
117,
118,
119,
120,",Java,J2Ee,Sailpoint,Identity Access Management,Forgerock,User Provisioning,Oracle,LDAP,Rbac,Password Management"
121,",Forgerock,Identity Access Management"
122,
123,",LDAP,Active directory,Mobile applications,Web technologies,Management,SAML"
124,",c#,.Net,MSSQL,OOP,API,REST"
125,
126,
127,",Kafka,Java,Design Development,Streams,Product Development,High Availability"
128,",Verilog,Debugging,VHDL,PCIE,UVM,Hardware design"
129,",J2Ee,Core Java,JSP,Virtualization,Software design,Design development"
130,",Linux,Python,Networking,Agile,Virtualization,Cloud"
131,",Linux,Python,Networking,Agile,Virtualization,Cloud"
132,",Budgeting,Balance Sheet,Product management,Application development,Agile,metadata"
133,",Budgeting,Balance Sheet,Product management,Application development,Agile,metadata"
134,",C++,Linux,Python"
135,
136,
137,
138,",SQL,SAP,Data structures,Consulting,Business process,Web intelligence"
139,",Content Development,Training,Instructional Design,E-learning,Content Designing,Learning"
140,",Application Development,Platform Development,Power Bi,Technology Solutions,Production Support,Automation Testing,JSON,application development lifecycle,SQL"
141,",Android Framework,AOSP"
142,",Javascript,Odata,Sap Fiori,Oauth,Web Technologies,Workflow"
143,
144,
145,
146,
147,",Hadoop,Pyspark,Hdfs,Hive,Aws Glue,Pig"
148,",Oracle Database,ETL,Informatica,Idq,Data Warehousing,Shell Scripting"
149,",Consulting,E-learning,Content management,Issue resolution,Simulation,content designing"
150,",Consulting,Order management,O2C,Training,Individual Contributor,management,Interpersonal skills,Client relationship,Instructor,professional services"
151,",Rpa,Automation Anywhere"
152,",Rpa,Automation Anywhere"
153,",Angular,Javascript"
154,",AngularJS,Javascript,TypeScript,UI,HTML5,CSS3"
155,",React.Js,UI Development"
156,",CAD,c++,MFC,Geometric algorithm,C#,WPF"
157,",Core Java,Spring,Advanced Java,Multithreading,Microservices,SOAP"
158,",Linux,Ethernet,TCP,Boardbring,AUTOSAR,CAN"
159,",Linux,Ethernet,TCP,Boardbring,AUTOSAR,CAN"
160,",Javascript Frameworks,Node.Js,Angular,Elastic Search,AWS,Functional Design"
161,",C#,Uipath,Rpa,.Net,VB.NET,VB"
162,",C#,Uipath,Rpa,.Net,VB.NET,VB"
163,",Microservices,Java,J2Ee,Spring Boot"
164,",Logistics Sales,B2B Sales,Sales"
165,
166,",SQL,Unix,Linux,Oracle BRM,application monitoring,Perl"
167,",Project management,SQL,Data management,Eclipse,data governance,Excel"
168,
169,
170,",Spark,Java,Python,NoSQL,Big Data,SQL,Data Engineering,Streaming,Continuous Integration,SCALA"
171,",Automotive,Analytical,Robotics,Computer science,Algorithm development,Wellness"
172,
173,",Budgeting,Balance Sheet,Product management,Application development,Agile,metadata"
174,",Cloud,Automation,Interpersonal skills,Testing,Analytical skills,Troubleshooting"
175,",Linux,Python,Networking,Agile,Virtualization,Cloud"
176,",Budgeting,Balance Sheet,Product management,Application development,Agile,metadata"
177,
178,",Project Management,Java,React.Js,Core Java"
179,
