skills,0
",Linux,Windows,Python,Open source,Firmware,Ethernet,SOC,Information technology,SATA,PCIE",0
,1
",OO ABAP,Odata,Sapui5,Cds,Hana,Ariba",2
,3
",Machine Learning,Go,Rabbitmq,Angular,Javascript,Software Development",4
",Machine Learning,Go,Rabbitmq,Angular,Javascript,Software Development",5
",FIORI,Machine learning,Analytics,BW,Cloud Foundation,Javascript",6
",FIORI,Machine learning,Analytics,BW,Cloud Foundation,Javascript",7
",Docker,Kubernetes,Postgres,OData,REST Protocols,ABAP",8
",SAP Platform Security,Vault,Consul,Cloud HSMs,Data structures,Java",9
",CSS,Front End,Ux Design,Continuous Delivery,Design Development,SAP Fiori",10
",Spring Boot,Rest,Web Services,Design Patterns,Cloud Development,Software Development",11
",Java,Data Structures,Algorithms,PHP,Software Development Life Cycle,Programming",12
",Spring Boot,Rest,Web Services,Design Patterns,Cloud Development,Software Development",13
",Java,Data Structures,Algorithms,PHP,Software Development Life Cycle,Programming",14
,15
",Vue,Typescript,Angular,Rest,Microservices,Artificial Intelligence",16
",Testng,Algorithms,OOP,Spring Framework,JUnit,SQL",17
",JavaScript,Spring Framework,Rest API,Software Development,Cloud Foundry,Jenkins",18
",Swift,Android,Design Patterns,Software Engineering,Customer Experience,Problem Solving",19
",JavaScript,Spring Framework,React.Js,Rest API,Software Development,Jenkins,Programming,Java,NodeJS,Cloud Foundry",20
,21
,22
,23
",Hana,native hana",24
,25
",Automation,Perl,Front end,Data structures,Debugging,Python",26
",Networking,Python,big data,Cloud,Distribution system,Infrastructure",27
",Automation,Perl,Front end,Data structures,Debugging,Python",28
",Data analysis,SQL,Data processing,Linux,Unix,Analytical",29
",SQL,Automation,Consulting,Analytics,SAP BW,Data warehousing",30
",Consulting,Excel,Training,Individual Contributor,management,Interpersonal skills",31
",Consulting,Management,Training,Individual Contributor,management,delivery operations",32
",Consulting,Content management,Training,Instructor,Individual Contributor,management",33
",SAP,ABAP,Debugging,Consulting,Functional testing,Business process",34
",Consulting,Excel,International voice process,Training,Individual Contributor,management",35
",Consulting,record to report,Training,Individual Contributor,management,Interpersonal skills",36
",Consulting,Management,Training,Individual Contributor,management,Instructor",37
",Consulting,Management,Training,Individual Contributor,management,Instructor",38
",Consulting,SAP implementation,OTC,PTP,SAP ABAP,Adobe Forms",39
",E-learning,Consulting,Simulation,High level design,Issue resolution,Design development,Management,Individual Contributor,management,Time management",40
",E-learning,Consulting,Simulation,High level design,Issue resolution,Design development",41
",SAP,Application support,Data modeling,RDBMS,Consulting,Monitoring",42
",SAP,Application support,Data modeling,RDBMS,Consulting,Monitoring",43
",Consulting,Excel,Training,Individual Contributor,Interpersonal skills,Client relationship",44
",SAP,ABAP,Application support,Consulting,Front end,Business process",45
",Customer service,Telecom,Consulting,Excel,Training,Individual Contributor",46
",Consulting,Customer service,Training,Instructor,Individual Contributor,Interpersonal skills",47
",Consulting,E-learning,Issue resolution,Simulation,content designing,Design development",48
",Consulting,E-learning,Issue resolution,Simulation,content designing,Design development",49
",Consulting,Customer service,Training,Instructor,Individual Contributor,Interpersonal skills,Client relationship,professional services,Management",50
",Consulting,E-learning,Issue resolution,Simulation,content designing,Design development",51
",Consulting,Financial planning,Management,record to report,Training,Individual Contributor",52
",Data Warehousing,Data Modeling,SAP BW,Strong Communication Skills,Business Process,ABAP",53
,54
",Redux,Project Life Cycle,Software Quality Assurance,Agile,Markup Languages,Test Planning",55
,56
,57
",Shopify Developer,Digital Commerce,Team management,Project management,Shopify,software configuration management",58
",Project management,Team management,software configuration,Client Interfacing,Microservices,Java",59
",Angular Developer,SDLC,agile methodologies,architecture,design principles,performance engineering",60
,61
,62
",Information technology,Coding,Process management,GIT,Mobile application development,Web application development",63
",Module Pool Programming,Badi,IDOCS,ESS,SAP HR,Hana",64
",Consulting,Digital Transformation,Technology Solutions,Effort Estimation,Vendor Evaluation,Tririga Developer",65
",Module Pool Programming,Badi,IDOCS,ESS,Hana,OOPS",66
",Intellectual property,Automation,Front end,Agile,Open source,Test cases",67
",Unix,Linux,Aix,Debugging,System architecture,Assurance",68
",Core Java,Eureka,J2Ee,JPA,Microservices,Design Patterns",69
,70
,71
,72
,73
",Project Management,Java,React.Js,Core Java",74
",SQL,Networking,Db2,Windows,Apache,Shell scripting",75
