,course_id,Ramesh,Ritesh,Rohit,Divya,Pooja,Ravi,Mansi,Hitesh,Tejas,Sonal,Rahul,Sourabh,nishu314@gmail.com
0,1070968,,3.0,,,,,3.0,,4.0,,2.0,,
1,1113822,,,5.0,,3.0,,3.0,,,,,,
2,1006314,,,,,5.0,,,,3.0,,,,
3,1210588,,,4.0,,,3.0,,,,,3.0,,
4,1011058,1.0,,,,,1.0,,,3.0,,,,
5,192870,2.0,,,,,,,,3.0,4.0,,,
6,739964,1.0,,4.0,,,1.0,2.0,,,2.0,,,
7,403100,,,,,,,,,,3.0,,,
8,476268,2.0,5.0,,,,,3.0,,,,,,
9,1167710,,,5.0,4.0,,,,,,,5.0,,
10,592338,,4.0,1.0,,,,,2.0,,4.0,,,
11,975046,5.0,,,,,1.0,3.0,,4.0,,,,
12,742602,,,1.0,,,,,,,,,,
13,794151,,4.0,,,1.0,,,,,,,,
14,1196544,,,1.0,,,,,3.0,,,,5.0,
15,504036,,,,1.0,,,,5.0,5.0,,,2.0,
16,719698,,,,,,,,,,4.0,,,
17,564966,5.0,2.0,,,,,5.0,,,,,1.0,
18,606928,,,,,2.0,,,,,,,2.0,
19,58977,,,,3.0,2.0,,3.0,4.0,,,4.0,,
20,1242604,,,,,,,,,,,,,
21,798740,,,,,,,,,,,4.0,,
22,506568,,,,,3.0,4.0,1.0,,,5.0,,,
23,1020760,,,,,,3.0,,5.0,,4.0,,3.0,
24,859742,,,,,,,,,,,,,
25,383414,,4.0,,,3.0,,,,2.0,,,,
26,353044,,,,,1.0,5.0,,,4.0,,1.0,,
27,447362,5.0,5.0,4.0,,3.0,,1.0,,,,5.0,1.0,
28,831066,,5.0,,,,,,,2.0,1.0,,,
29,1266306,,,2.0,,,,,,4.0,,,5.0,
30,1170894,1.0,,5.0,,3.0,,,4.0,,,,1.0,
31,948974,,,3.0,,5.0,,1.0,,1.0,,1.0,,
32,380970,,,,,,,,1.0,2.0,,,2.0,
33,1217778,,,,,3.0,,4.0,,1.0,,,,
34,1246208,,,,,,,3.0,,,,,,
35,434774,,2.0,,,5.0,,,,5.0,,,,
36,308690,5.0,,,,,,,,,2.0,,2.0,
37,888716,,,,,,,,,,3.0,,,
38,321410,,,,,,,,1.0,,,1.0,,
39,965832,,,,,,3.0,,,,3.0,3.0,,
40,648826,2.0,1.0,5.0,2.0,,,5.0,,,1.0,,5.0,
41,1035472,4.0,4.0,,,,,,,5.0,3.0,,,
42,1154754,,4.0,,,,,5.0,4.0,,2.0,,,
43,627540,,,2.0,3.0,5.0,,,,,4.0,,5.0,
44,301442,,,,,,,,,,3.0,,,
45,640100,,,,1.0,,1.0,3.0,,,,,,
46,1247394,,,,,,,,,2.0,5.0,5.0,,
47,260470,3.0,,2.0,,,2.0,,,,,,,
48,1214702,,,,,,,,,,3.0,,,
49,848664,,,,,,,,,,,,,
50,1142570,,,,,5.0,,,1.0,,,5.0,,
51,325834,,,5.0,,,,,,1.0,5.0,,,
52,411168,,,,,,,,,,1.0,,,
53,885974,,,,,,,,,,,,1.0,
54,1151092,3.0,3.0,,,,,,,,3.0,,5.0,
55,358326,,,,1.0,,,,,,,,,
56,153210,,,,,3.0,,4.0,,1.0,,1.0,,
57,834836,,,,,,,,,,4.0,5.0,,
58,1171994,,,,,,2.0,,,,,1.0,4.0,
59,1239068,,,,3.0,4.0,,,,2.0,,,,
60,985922,,,,,,1.0,,3.0,,3.0,,2.0,
61,765562,5.0,,,3.0,,,,1.0,,1.0,,3.0,
62,165964,,,,,2.0,,,,,,,,
63,855172,1.0,5.0,,2.0,2.0,1.0,,2.0,4.0,,,,
64,258232,3.0,,,,,,,,5.0,,3.0,,
65,994754,,,3.0,,,,5.0,,,,,,
66,43319,,,2.0,4.0,,,,,,3.0,,,
67,408440,,,,5.0,,3.0,,4.0,,,,,
68,918688,,1.0,,,1.0,,1.0,,,,,,
69,308694,,,,4.0,,,,,,,,,
70,199450,1.0,,,,,,,,,2.0,3.0,,
71,401784,,,2.0,2.0,4.0,3.0,3.0,,,2.0,,,
72,1122792,,2.0,5.0,,,1.0,,,,,,,
73,709500,1.0,,,,,,,,2.0,,,4.0,
74,285638,,,1.0,,1.0,,,,,,,,
75,1135126,,,,,,,,,,1.0,,1.0,
76,834558,2.0,,,,5.0,,,,5.0,,,1.0,
77,551968,,,,,,2.0,,,,,,3.0,
78,1005658,,2.0,,,5.0,,,3.0,,4.0,,,
79,746432,,,,1.0,,,,,,,,,
80,1057242,,4.0,3.0,5.0,,3.0,4.0,,,,,2.0,
81,284118,,,,2.0,,5.0,,,,,1.0,,
82,302562,,,,5.0,,1.0,,1.0,,2.0,4.0,,
83,596598,,,5.0,,,5.0,,1.0,5.0,,3.0,,
84,860890,3.0,,,,,,,,,5.0,4.0,4.0,
85,951050,,,,,,,,5.0,,,,,
86,796450,,,2.0,,4.0,5.0,,,,,,,
87,502772,,2.0,,,,,,,,,,,
88,1102462,,,,3.0,,,,,,,,,
89,1062092,,5.0,3.0,,,5.0,3.0,,,,,,
90,891484,3.0,,,1.0,3.0,,,1.0,,,5.0,,
91,1217064,,,,,1.0,,,,,,,,
92,382204,,,,,,,,,,,,,
93,308696,1.0,,,,,1.0,,,4.0,,,,
94,474928,5.0,,,,5.0,,,3.0,,,1.0,1.0,
95,1148774,,,,,,5.0,,,,3.0,,,
96,959144,1.0,4.0,1.0,2.0,,1.0,2.0,3.0,1.0,,,,
97,1233350,,,,,,5.0,3.0,,,,5.0,2.0,
98,572744,3.0,5.0,,,,,1.0,,,,,,
99,724062,,,3.0,,,,4.0,,,,,,
100,474212,,2.0,,,,,,,,,,3.0,
101,771276,,,2.0,4.0,,,,,,,,,
102,388164,3.0,,,,4.0,,,1.0,,,,3.0,
103,133536,5.0,5.0,2.0,,,,,,,,,,
104,655300,,,,2.0,,,,,,1.0,,,
105,949504,,,,,,,,5.0,,,,,
106,265960,,,,,,2.0,,,5.0,,,,
